resolution,n_voxels,threads,vertices,faces,time_avg
32,32768,1,41568,13856,.09250000000000000000
32,32768,2,41568,13856,.07660000000000000000
32,32768,4,41568,13856,.06710000000000000000
32,32768,8,41568,13856,.07330000000000000000
32,32768,16,41568,13856,.06670000000000000000
32,32768,32,41568,13856,.06730000000000000000
64,262144,1,169056,56352,.42030000000000000000
64,262144,2,169056,56352,.33430000000000000000
64,262144,4,169056,56352,.29500000000000000000
64,262144,8,169056,56352,.29640000000000000000
64,262144,16,169056,56352,.29390000000000000000
64,262144,32,169056,56352,.31440000000000000000
128,2097152,1,682896,227632,1.86480000000000000000
128,2097152,2,682896,227632,1.90740000000000000000
128,2097152,4,682896,227632,2.26800000000000000000
128,2097152,8,682896,227632,1.96310000000000000000
128,2097152,16,682896,227632,1.14020000000000000000
128,2097152,32,682896,227632,1.13570000000000000000
256,16777216,1,2740848,913616,7.91640000000000000000
256,16777216,2,2740848,913616,5.92050000000000000000
256,16777216,4,2740848,913616,4.91020000000000000000
256,16777216,8,2740848,913616,4.62020000000000000000
256,16777216,16,2740848,913616,4.62640000000000000000
256,16777216,32,2740848,913616,4.42800000000000000000
512,134217728,1,10985520,3661840,34.60850000000000000000
512,134217728,2,10985520,3661840,22.84330000000000000000
512,134217728,4,10985520,3661840,15.11840000000000000000
512,134217728,8,10985520,3661840,13.20820000000000000000
512,134217728,16,10985520,3661840,13.24860000000000000000
512,134217728,32,10985520,3661840,13.24960000000000000000
