exe,mode,threads,step,triangles,time
marching1_omp,basic,1,0.01,94088,0.910807
marching1_omp,basic,2,0.01,94088,0.493595
marching1_omp,basic,4,0.01,94088,0.258623
marching1_omp,basic,8,0.01,94088,0.140712
marching1_omp,basic,16,0.01,94088,0.0812273
marching1_omp,basic,32,0.01,94088,0.0577991
marching1_omp,hard,1,0.01,4780486,8.75678
marching1_omp,hard,2,0.01,4780486,4.68484
marching1_omp,hard,4,0.01,4780486,2.62304
marching1_omp,hard,8,0.01,4780486,1.73576
marching1_omp,hard,16,0.01,4780486,1.24177
marching1_omp,hard,32,0.01,4780486,0.970039
marching2_omp,basic,1,0.01,94088,0.937763
marching2_omp,basic,2,0.01,94088,0.558854
marching2_omp,basic,4,0.01,94088,0.277879
marching2_omp,basic,8,0.01,94088,0.145163
marching2_omp,basic,16,0.01,94088,0.0941298
marching2_omp,basic,32,0.01,94088,0.0586365
marching2_omp,hard,1,0.01,4780486,8.72244
marching2_omp,hard,2,0.01,4780486,4.87267
marching2_omp,hard,4,0.01,4780486,2.8784
marching2_omp,hard,8,0.01,4780486,1.91797
marching2_omp,hard,16,0.01,4780486,1.39159
marching2_omp,hard,32,0.01,4780486,1.09655
marching3_omp,basic,1,0.01,94088,0.915785
marching3_omp,basic,2,0.01,94088,0.472574
marching3_omp,basic,4,0.01,94088,0.256687
marching3_omp,basic,8,0.01,94088,0.148645
marching3_omp,basic,16,0.01,94088,0.0906013
marching3_omp,basic,32,0.01,94088,0.0667129
marching3_omp,hard,1,0.01,4780486,8.87888
marching3_omp,hard,2,0.01,4780486,5.03389
marching3_omp,hard,4,0.01,4780486,3.02424
marching3_omp,hard,8,0.01,4780486,1.98637
marching3_omp,hard,16,0.01,4780486,1.55104
marching3_omp,hard,32,0.01,4780486,1.3681
