exe,mode,threads,step,triangles,time
marching1_omp,basic,1,0.02,23480,0.118171
marching1_omp,basic,2,0.016,36764,0.119252
marching1_omp,basic,4,0.0127,58472,0.125463
marching1_omp,basic,8,0.01,94088,0.153651
marching1_omp,basic,16,0.0079,151136,0.159118
marching1_omp,basic,32,0.0063,237632,0.20244
marching1_omp,hard,1,0.02,1189868,1.21696
marching1_omp,hard,2,0.016,1854598,1.31565
marching1_omp,hard,4,0.0127,2958034,1.45498
marching1_omp,hard,8,0.01,4780486,1.6938
marching1_omp,hard,16,0.0079,7618242,2.20258
marching1_omp,hard,32,0.0063,12029298,2.78576
marching2_omp,basic,1,0.02,23480,0.123517
marching2_omp,basic,2,0.016,36764,0.126179
marching2_omp,basic,4,0.0127,58472,0.130747
marching2_omp,basic,8,0.01,94088,0.149595
marching2_omp,basic,16,0.0079,151136,0.167307
marching2_omp,basic,32,0.0063,237632,0.196715
marching2_omp,hard,1,0.02,1189868,1.22013
marching2_omp,hard,2,0.016,1854598,1.33613
marching2_omp,hard,4,0.0127,2958034,1.57445
marching2_omp,hard,8,0.01,4780486,2.02085
marching2_omp,hard,16,0.0079,7618242,2.53816
marching2_omp,hard,32,0.0063,12029298,3.11718
marching3_omp,basic,1,0.02,23480,0.132877
marching3_omp,basic,2,0.016,36764,0.14495
marching3_omp,basic,4,0.0127,58472,0.129556
marching3_omp,basic,8,0.01,94088,0.156557
marching3_omp,basic,16,0.0079,151136,0.180931
marching3_omp,basic,32,0.0063,237632,0.213483
marching3_omp,hard,1,0.02,1189868,1.29106
marching3_omp,hard,2,0.016,1854598,1.43552
marching3_omp,hard,4,0.0127,2958034,1.65926
marching3_omp,hard,8,0.01,4780486,2.09541
marching3_omp,hard,16,0.0079,7618242,2.77057
marching3_omp,hard,32,0.0063,12029298,3.80925
